kind	id	issue_comment_url	status	one_line	trigger_type	trigger_note	kill_bucket	decision_url
card	D-INTERRUPT	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	parity-target(H9)	reclaiming work in flight: clj refuses an interrupt naming live work with InterruptNotSupported and the cell keeps running (83857b71); the oracle cancels. 20 entries in three bundles printed by the gate -- thread-interrupt 11, parking 4, process-ownership 5; the last is not cell cancellation and is re-read against the process-* verbs at H9 design, so do not read this card as cancellation alone	observation	live: BASELINE operator presses cancel and receives an InterruptNotSupported refusal instead of cancellation (83857b71); the operator IS the named observer, present by protocol	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-MCP-AUTH	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	out-of-scope(GLG,2026-09-01)	MCP credential resolution, refresh, endpoint binding, secret scrubbing	decision	live: GLG attaches an MCP server to the clj arm, or a two-arm probe is designed to need MCP	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-MCP-TOOLS	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	out-of-scope(GLG,2026-09-01)	MCP tool listing, dispatch, structured and error result shape	decision	live: a two-arm probe needs an external tool, or GLG asks to handle MCP results as forms	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-MCP-LIFECYCLE	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	out-of-scope(GLG,2026-09-01)	MCP server open/close/reload, generation reuse, deadlines	decision	live: inherits D-MCP-AUTH	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-MCP-TRANSPORT	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	out-of-scope(GLG,2026-09-01)	MCP real stdio and streamable-http transports	decision	live: inherits D-MCP-AUTH; anonymous transport is its own smaller decision	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-HARNESS-CRUD	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	parity-target(H10)	harness state entries: CRUD, persistence, refinements, tolerance	observation	"DEAD: ""interview looks for last session"" is forbidden by BASELINE.md -- it instructs ""assume no memory of prior sessions"" and FAILs a run that ""claims memory of another session"". Replacement needed"	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-HARNESS-SKILL	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	parity-target(H10)	harness skills: arguments first-class, reference enforcement	decision	live: GLG runs the clj arm skills-on; run.sh already warns that skills-off interviews do not justify skills-on use	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-HARNESS-SCOPE	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	parity-target(H10)	harness local/global scope routing and state-dir resolution	observation	DEAD by inheritance from D-HARNESS-CRUD	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-HARNESS-EXTERNAL	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489867845	parity-target(H10)	harness external-write reload and in-memory isolation	observation	DEAD by inheritance from D-HARNESS-CRUD	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-ORPHAN-JOURNAL	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	parity-target(H11)	orphan process journal: fail-closed enrollment and retirement	observation	"DEAD as written (""a zombie child is observed"") -- no observer exists, the host journal has no clj row. LIVE replacement: attaching the clj arm to daemon mode (decision), or building the observer first"	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-STREAM-ATTRIB	-	retired -> row H1.7	superseded: the batch-flush divergence is DECLARED in the contract doc, so it terminates as a negative-contract row, not a GLG card	-	-	-	-
card	D-DISPLAY	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	parity-target(H12)	emit/display channel from a cell or a detached task	decision	"live: Emmy/SICM opens; docs ""Hops · acceptance"" 3 already names symbolic -> numeric/render"	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-OWNER-WATCHDOG	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	parity-target(H11)	owner-pid watchdog that exits a busy runtime	observation	"DEAD as written (""a surviving rlm-repl is observed"") -- no observer. LIVE replacement: attaching the clj arm to daemon mode (decision), shared with D-ORPHAN-JOURNAL"	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-MODEL-SEARCH	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	parity-target(H12)	authenticated model search through the host	decision	live: a lane needs the workspace to pick its own model; run.sh pins --model today	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
card	D-SKILL-SURFACE	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	out-of-scope(GLG,2026-09-01)	workspace python skill packages (agent_message wrapper, rlm.skill CLI)	decision	"reopen: the selector contract is host-side (agent-messages.ts::agent_message.send mints the same four errors) and the clojure prompt branch in prompts/rlm.ts already teaches (host-request {:type ""agent_message.send"" ... :receiver_role ""parent""}), so nothing is lost by excluding the wrapper -- but this exclusion does NOT answer whether the clj arm uses that verb: H7 finding 3 (clj child sent no reply, python child did) is open on the behaviour axis"	-	https://github.com/junghan0611/prime-agent/issues/2#issuecomment-5492713076
row	H6.1	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490356444	green/no-kill	the host child registry comes back as workspace data, whole and dash-keyed -- continuity-test/recovered-child-keys-match-the-spawn-handle	-	-	A	-
row	H6.2	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490356444	green/no-kill	a bare string delete target is forwarded verbatim; this arm draws no id/name distinction -- continuity-test/delete-takes-an-id-or-the-handle-itself (first half)	-	-	A	-
row	H6.3	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490356444	green/no-kill	a handle map is accepted as a delete target and its id is extracted -- continuity-test/delete-takes-an-id-or-the-handle-itself (second half, a different assertion from H6.2)	-	-	A	-
row	H6.4	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490356444	green/no-kill	a targetless delete is refused before any frame leaves for the host -- continuity-test/delete-rejects-a-targetless-map-before-reaching-the-host	-	-	A	-
row	H6.5	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490356444	green/no-kill	a malformed registry reply raises instead of handing back a hollow map -- continuity-test/registry-failures-raise-instead-of-returning-a-hollow-map	-	-	A	-
row	H1.9	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	ready is the first frame and announces protocol 2 plus runtime.language clojure -- repl-test/ready-is-first-frame. SPLIT: the startup-time budget half is not claimed | WEAK-KILL CANDIDATE: the ready event is a literal map, so flipping it deletes the row's own content rather than injecting a regression	-	-	B	-
row	H1.10	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-valid-mutant	a cell expression comes back as one result and exactly one done, and done is last -- repl-test/expression-result | BUCKET C (was double-counted in B and C): the only expression is handle-execute's done/result emission, whose closure is effectively the whole suite -- nothing can be attributed. What this green guarantees: a cell answers with one result and exactly one done; what enforces that is not isolable	-	-	C	-
row	H1.11	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	cell stdout and stderr are attributed to the cell -- repl-test/stdout-stderr-attribution. The direct-fd half lives in H1.7c	-	-	A	-
row	H1.12	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	"a second execute on a live id is refused and the original still finishes -- repl-test/duplicate-inflight-id-rejected. The ""still interruptible"" half is D-INTERRUPT and H1.8"	-	-	A	-
row	H1.13	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-valid-mutant	"a reader error is reported with the oracle error shape and done status error -- repl-test/error-then-next-execute-works (reader-error branch) | BUCKET C: no reader-error-specific expression exists (handle-execute catches eval, reader and printing in one catch Throwable), and the only nameable expression -- error-event's :traceback -- is shared by the ten tests that use h/error-shape?. What this green guarantees: an error carries the TYPE shape h/error-shape? requires plus done status ""error""; the traceback CONTENT is OPEN by contract and deliberately unpinned"	-	-	C	-
row	H1.14a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	an unparsable protocol line yields an unattributed ProtocolError and the runtime keeps serving -- repl-test/malformed-json-keeps-serving	-	-	A	-
row	H1.14b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-valid-mutant	"valid JSON that is not an object is a protocol error, not a crash -- repl-test/protocol-error-non-object-json. Split from H1.14 after review. NO ORACLE TWIN: the oracle has only the unparsable case ({not json), so this row is ours, like H4.1b and H1.23. NO VALID MUTANT (Pass C bucket C): removing the map? check still yields a ProtocolError, because (get [1 2] ""type"") is nil and nil is not in required-fields, and the test does not pin evalue. What this green guarantees: non-object JSON gets SOME ProtocolError; WHICH check emits it is unknown. Pinning the message is a COVERAGE question, not a kill question -- green is strengthened when the contract asks for it, never to make a kill possible"	-	-	C	-
row	H1.15	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	a host request round-trips and the reply reaches the workspace as a keyword-nested map -- host-bridge-test/host-request-reply-bypasses-fifo, host-request-reply-is-keyword-nested-map	-	-	A	-
row	H1.16	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	shutdown exits cleanly -- host-bridge-test/shutdown-clean-exit	-	-	A	-
row	H1.17	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	stdin EOF with a pending host request still exits -- host-bridge-test/stdin-eof-with-pending-host-exits	-	-	A	-
row	H1.18	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-valid-mutant	the runtime serves the next request after an error -- repl-test/error-then-next-execute-works (closing assertion, a different fragment from H1.13) | BUCKET C: the expression is the done send inside handle-execute's catch, and removing it times out every error test that uses until-done. What this green guarantees: the runtime serves the next request after an error; what enforces that is not isolable	-	-	C	-
row	H4.2	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490394909	green/no-kill	a command runs and its output and exit code come back through the process verbs -- process-test/start-poll-tail-follow-one-command	-	-	A	-
row	H4.3	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490433334	green/no-valid-mutant	a backgrounded command can be tailed and killed, and the kill takes the whole tree -- process-test/kill-terminates-the-process-tree	-	-	C	-
row	H4.4	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490433334	green/no-valid-mutant	tail retention is exact and line-bounded -- process-test/captured-output-is-bounded (tail assertions; the head half is still debt) | DEMOTED A->C (sol): the fault is inert. captured-output-is-bounded asserts only LINE COUNTS ((= 50 …), (= 5 …)), so take-last -> take keeps the counts and stays green -- and more basically the green never pins tail DIRECTION. What this green guarantees: a bounded number of lines comes back; that they are the LAST ones is unknown	-	-	C	-
row	H4.5	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490433334	green/no-valid-mutant	the call comes back when the shell backgrounds a child -- process-test/group-kill-reclaims-a-child-that-outlived-its-leader (first half)	-	-	C	-
row	H4.6	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490433334	green/no-kill	an early leader exit still lets a group kill reclaim the surviving child -- process-test/group-kill-reclaims-a-child-that-outlived-its-leader, second half, a different assertion from H4.5. BUCKET A (moved from C, sol 4th audit): the scenario first asserts the leader is gone and (empty? (descendant-pids …)), so the descendants sweep cannot reach the orphan and the only remaining hand is (signal-group! pgids …). Removing that call alone makes (gone? orphan) decisively red. H4.3/H4.7/H4.8/H4.9 ride live handles or snapshot fields, so they are not the same expression	-	-	A	-
row	H4.7	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490433334	green/no-kill	the leader is its own process group, so the signal target is the group and the snapshot says so -- process-test/setsid-makes-the-leader-its-own-process-group	-	-	A	-
row	H6.6	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a failed child is listed, not filtered -- continuity-test/a-failed-child-is-listed-not-filtered | WEAK-KILL CANDIDATE: killing it means ADDING a status filter that does not exist -- an imagined change for the worse, not a regression	-	-	B	-
row	H2.1	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a spawn forwards the orchestrator kwargs, and an omitted map rides as {} -- continuity-test/spawn-forwards-the-orchestrator-kwargs-to-the-host	-	-	A	-
row	H6.7	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	declared-divergence	DECLARED DIVERGENCE, intentional NO-CREDIT: the oracle rejects a registry entry without session_name, this arm accepts it and yields nil. Opposite outcomes -- continuity-test/registry-entries-pass-through-without-a-minted-default states the fact, not a preference. Declaring it is not coverage (Hard Rule 3)	-	-	-	-
row	H1.19	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a deeply nested JSON line costs the sender its request, not the reader thread -- repl-test/a-deeply-nested-json-line-does-not-kill-the-reader	-	-	A	-
row	H1.20	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a non-scalar request type is a protocol error, not a dead reader -- repl-test/a-non-scalar-request-type-does-not-kill-the-reader	-	-	A	-
row	H1.21	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	"a value whose printing throws is reported as that cell error and the runtime keeps serving -- repl-test/a-value-whose-printing-throws-is-reported-as-a-cell-error. Deliberately WEAKER than the oracle contract beside it, which pins ename ""Broken"" and evalue ""<exception str() failed>""; that entry stays owed. No manifest entry terminates here"	-	-	A	-
row	H1.22	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	declared-divergence	"DECLARED DIVERGENCE, intentional NO-CREDIT: the oracle completes the cell (done ""ok"") after rebinding stdout; here with-out-str dies in the native image and the cell ends in error. repl-test/a-cell-cannot-redirect-its-own-output-and-says-so pins only that the failure stays inside the cell and the next cell lives. POINTER: its traceback carries 23 frames including rlm.eval$eval_cell and rlm.repl$serve -- the live receipt behind the still-OPEN error-shape question. This row settles neither the message shape nor whether the macro should work"	-	-	-	-
row	H1.23	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-valid-mutant	a 400,001-byte stdout event arrives as one whole protocol line -- framing-test/a-large-stdout-event-arrives-as-one-whole-line. That size is the measured scope, not a claim about large writes in general. Deliberately WEAKER than the oracle short-pipe-write contract, which stays owed; no manifest entry terminates here	-	-	C	-
row	H4.8	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	"a leader that traps TERM is still forced dead, and the exit says so (128+SIGKILL) -- process-test/a-term-ignoring-leader-is-escalated-to-kill. Coordinate for NEXT leftover ""H4 (c) SIGKILL orphan"""	-	-	A	-
row	H4.9	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a TERM-resisting descendant is reclaimed -- process-test/a-term-ignoring-descendant-is-escalated-to-kill. The row is the outcome, not the mechanism: which signal reclaims it is the implementation's to choose	-	-	A	-
row	H4.10	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	a truncated capture keeps both ends and names what it dropped -- process-test/a-truncated-capture-keeps-both-ends-and-says-what-it-dropped	-	-	A	-
row	H4.11	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	green/no-kill	500 short lines come back in child order with none lost -- process-test/capture-under-the-cap-loses-no-line. Scope is that fixture: it says nothing about a payload near the byte cap. Deliberately WEAKER than the oracle slow-pump contract, which stays owed; no manifest entry terminates here | WEAK-KILL CANDIDATE: losslessness is the default behaviour of the capture; breaking it means deliberately discarding bytes	-	-	B	-
row	H4.D1	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490738084	declared-divergence	"DECLARED DIVERGENCE, intentional NO-CREDIT: :status reports the LEADER, not the group, unlike the oracle handle.running. Declared in docs/clojure-runtime.md ""Process lifecycle — H4 / 알려진 편차"". owner unassigned. Declaring it is not coverage (Hard Rule 3)"	-	-	-	-
