test_id	verdict	target	host_skip	evidence
test_bash.py::BashTest::test_cancelled_direct_await_kills_group	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_cancelled_direct_await_escalates_past_term_trap	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_background_handle_survives_cancel_of_creating_context	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_cancelling_await_on_released_handle_does_not_kill	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_second_await_after_cancelled_oneshot_only_waits	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_second_cancel_during_cleanup_still_confirms_group_death	D	D-INTERRUPT	-	"asyncio cancellation of an in-flight command. clj rlm.repl/handle-line accepts an ""interrupt"" frame, validates the id is a string, and then does nothing — no cancellation path exists Declared (not silent) in docs/clojure-runtime.md ""Protocol slice -- 구현된 것"": interrupt is ""파싱한다. 취소를 보장하지 않는다"" -- declared in prose, bound by no test."
test_bash.py::BashTest::test_windows_without_bash_raises_teaching_error	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_pump_paused_between_read_and_commit_does_not_lose_output	c	-	-	STAYS (c): rlm.process/pump! is the counterpart (and the H1.4a tear surface), but no clj assertion pauses it mid-handoff
test_bash.py::BashTest::test_slow_pump_does_not_lose_foreground_output	c	-	-	STAYS (c): same pump handoff, slow-reader scenario. No clj assertion exercises it
test_bash.py::BashTest::test_relative_bash_shell_override_rejected	row	H4.1a	-	"clj rlm.process/shell-path throws on a non-absolute PRIME_AGENT_BASH_SHELL and its docstring names ""the oracle _shell() order"" -- now pinned by process-test/a-relative-bash-shell-override-is-refused (its sibling H4.1b pins that an absolute override is honoured, so the row cannot pass by refusing everything)"
test_bash.py::BashTest::test_windows_journal_writes_only_enriched_record	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_spawn_creates_child_inside_job	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_create_job_failure_fails_closed	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_resume_failure_fails_closed	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_journal_enrollment_failure_kills_suspended_leader	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_spawn_failure_closes_precreated_job	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_watch_taskkill_fallback_runs_before_process_handle_close	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_kill_blocked_during_watch_reap_never_taskkills_after_close	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_kill_live_handles_skips_reaped_windows_handle	a	-	-	Windows-subject despite the name: body drives _win_spawn / taskkill / job handles. NOT counted by a test_windows_* prefix scan
test_bash.py::BashTest::test_kill_live_handles_blocked_on_abort_never_taskkills_after_close	a	-	-	Windows-subject despite the name: body drives _win_spawn / taskkill / job handles. NOT counted by a test_windows_* prefix scan
test_bash.py::BashTest::test_windows_job_reap_and_kill	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_failed_job_terminate_falls_back_to_taskkill	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_windows_failed_terminate_and_taskkill_leaves_record_active	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_darwin_start_id_uses_absolute_ps	a	-	-	macOS start-id probe (absolute /bin/ps); host-platform-specific
test_bash.py::BashTest::test_undelivered_kill_leaves_journal_record_active	D	D-ORPHAN-JOURNAL	POSIX signal-delivery semantics	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_signal_group_reports_delivery	row	H4.7	POSIX signal-delivery semantics	"clj process-test/setsid-makes-the-leader-its-own-process-group. fragment: (is (true? (:contained snap))) and (is (= pid (pgid-of pid)) ""setsid exec'd in place: pgid == leader pid"") -- the signal target is the group, and the runtime says so in the snapshot"
test_bash.py::BashTest::test_journal_configured_but_unwritable_kills_child_and_raises	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_journal_bad_owner_pid_rejects	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_missing_start_id_rejects_when_configured	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_journal_short_write_rejects_when_configured	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_journal_partial_writes_complete_the_record	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_unconfigured_journal_stays_permissive	D	D-ORPHAN-JOURNAL	-	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_harness.py::HarnessStateTest::test_crud_for_all_entry_kinds	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_persists_entries_and_refinements	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_load_ignores_unknown_json_keys	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_skill_arguments_are_first_class	D	D-HARNESS-SKILL	-	no skill concept in clj src; test_skill_references_must_be_python is itself an arm-asymmetric contract the card must answer
test_harness.py::HarnessStateTest::test_skill_references_must_be_python	D	D-HARNESS-SKILL	-	no skill concept in clj src; test_skill_references_must_be_python is itself an arm-asymmetric contract the card must answer
test_harness.py::HarnessStateTest::test_load_tolerates_corrupt_or_non_object_state	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_update_skill_preserves_omitted_arguments	D	D-HARNESS-SKILL	-	no skill concept in clj src; test_skill_references_must_be_python is itself an arm-asymmetric contract the card must answer
test_harness.py::HarnessStateTest::test_update_skill_without_reference_preserves_contract	D	D-HARNESS-SKILL	-	no skill concept in clj src; test_skill_references_must_be_python is itself an arm-asymmetric contract the card must answer
test_harness.py::HarnessStateTest::test_update_preserves_omitted_path	D	D-HARNESS-CRUD	-	MISCLASSIFIED (sol audit, fixed): the body is HarnessState.create_memory/update_memory and asserts .path survives an update that omits it -- an entry CRUD contract, nothing to do with skills
test_harness.py::HarnessStateTest::test_in_memory_state_never_touches_disk	D	D-HARNESS-EXTERNAL	-	no harness state store in clj src; external-write reload has no clj counterpart
test_harness.py::HarnessStateTest::test_in_memory_state_global_flag_uses_global_env_store	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_in_memory_state_global_flag_uses_default_global_store	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_reloads_external_writes_before_mutating	D	D-HARNESS-EXTERNAL	-	no harness state store in clj src; external-write reload has no clj counterpart
test_harness.py::HarnessStateTest::test_create_detects_externally_written_entry	D	D-HARNESS-EXTERNAL	-	no harness state store in clj src; external-write reload has no clj counterpart
test_harness.py::HarnessStateTest::test_explicit_create_and_update_enforce_entry_existence	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_explicit_state_dir_cache_uses_harness_state_file	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_explicit_state_dir_global_flag_uses_matching_state_file	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_env_default_state_keeps_env_global_target_after_explicit_dir_cache_hit	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_local_state_requires_local_path	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_default_state_uses_global_harness_env_dir	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_global_scope_default_state_uses_global_harness_env_dir	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_default_state_is_local_and_global_flag_targets_global_store	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_global_kwarg_must_be_boolean	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_state_cache_keeps_scope_distinct_when_local_and_global_share_a_file	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_scope_prefixed_ids_route_to_the_displayed_scope	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_create_with_prefixed_id_does_not_mint_literal_id	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_module_harness_binds_lazily_to_env_set_after_import	D	D-HARNESS-CRUD	-	"stays (D): asserts create_memory raises RuntimeError matching ""global_=True"" before the env lands -- a harness STATE failure shape, dependent on D-HARNESS-CRUD"
test_harness.py::HarnessStateTest::test_module_harness_without_env_raises_on_local_writes_and_reads_work	D	D-HARNESS-CRUD	-	"stays (D): the body drives create/update/delete/upsert/record_refinement and asserts local writes ""fail loudly instead of vanishing"" -- a harness STATE contract, dependent on the D-HARNESS-CRUD decision, not a binding-machinery contract"
test_harness.py::HarnessStateTest::test_module_harness_without_env_still_routes_global_writes	D	D-HARNESS-CRUD	-	"stays (D): asserts create_memory(global_=True) routes to the global store with entry.scope == ""global"" -- a harness STATE routing contract, dependent on D-HARNESS-CRUD"
test_harness.py::HarnessStateTest::test_import_rlm_without_env_does_not_raise	a	H1.3c	-	subprocess asserts only that `import rlm` exits 0 without the per-session env -- python import semantics. clj binds all 12 verbs eagerly in rlm.eval sci/init and H1.3c (status green/no-kill) fails startup outright when they are not all there, so the late/degraded-binding failure mode cannot exist
test_harness.py::HarnessStateTest::test_empty_local_state_dir_env_is_treated_as_unset	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_explicit_dir_aliasing_env_local_dir_keeps_env_global_target	D	D-HARNESS-SCOPE	-	no harness state store in clj src; clj runtime reads exactly two env vars (PATH, PRIME_AGENT_BASH_SHELL in rlm.process/shell-path), so no local/global scope env surface exists
test_harness.py::HarnessStateTest::test_callable_rlm_exposes_harness_state_helpers	a	H1.3c	-	asserts object identity (assertIs callable_rlm.harness package_harness) across the module __getattr__ hook -- a python module-object contract. Anchor H1.3c is green/no-kill, a weaker anchor than a PASS row
test_harness.py::HarnessStateTest::test_record_refinement_accepts_single_change_string	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_harness.py::HarnessStateTest::test_unknown_kind_rejected	D	D-HARNESS-CRUD	-	no harness/memory concept in clj src; sci/init exposes no state-entry verb
test_mcp.py::McpRegistryTest::test_schema_alias_and_exact_names	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_sdk_result_aliases_preserve_structured_output_and_errors	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_enabled_then_disabled_filters_listing_and_dispatch	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_reuses_generation_and_closes_before_replacement	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_config_failure_preserves_cached_generation	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_reload_waits_for_in_flight_first_open	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_startup_failure_cleanup_and_server_isolation	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_call_timeout_cancels_request	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_cross_loop_dispatch_does_not_impose_a_second_deadline	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_open_cancellation_after_ready_closes_lifecycle	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_stdio_env_is_scrubbed_and_tagged	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_acp_headers_never_consult_or_override_host_oauth	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_acp_config_skips_oauth_identity_and_refresh	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_acp_stdio_env_uses_literal_values_without_ambient_secrets	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_endpoint_bound_credential_never_attaches_to_another_url	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_unbound_credential_requires_relogin	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_diagnostics_do_not_contain_headers_or_env_secrets	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_startup_cancellation_is_not_wrapped	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_startup_cleanup_does_not_consume_handshake_deadline	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_short_secret_omits_all_child_details	D	D-MCP-AUTH	-	no mcp concept in prime-agent-runtime-clj/src (5 ns: core/eval/io/process/repl); credential lives in the python workspace process
test_mcp.py::McpRegistryTest::test_cancelled_close_can_be_retried	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_close_is_idempotent	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_real_stdio_argv_cwd_env_and_raw_tool	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_real_acp_stdio_preserves_cwd_and_exact_env	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_reload_reaps_real_acp_stdio_process	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_real_stdio_startup_diagnostic_is_safe_bounded_and_reaped	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_successful_stdio_discards_startup_stderr	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_real_anonymous_streamable_http	D	D-MCP-TRANSPORT	-	no mcp concept in clj src; clj spawns processes only through rlm.process verbs
test_mcp.py::McpRegistryTest::test_boolean_timeout_is_rejected	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_shutdown_closes_servers_concurrently_with_one_deadline	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_reload_remains_reusable_but_shutdown_is_terminal	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp.py::McpRegistryTest::test_close_waits_for_inflight_startup	D	D-MCP-LIFECYCLE	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_not_enabled_without_credentials	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_reads_oauth_access_token	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_reads_api_key	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_api_key_env_indirection_resolved	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_refreshes_via_host_when_expired	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_not_enabled_when_refresh_leaves_token_expired	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_refresh_failure_surfaces_as_error_not_not_enabled	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_bearer_token_env_wins	D	D-MCP-AUTH	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_empty_structured_result_preserved	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_error_result_raises	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_auto_bound_tool_calls_session	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_unknown_tool_raises_with_available_list	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_text_result_parsing	D	D-MCP-TOOLS	-	no mcp concept in clj src
test_mcp_base.py::McpIntegrationTest::test_requires_server_attribute	D	D-MCP-TOOLS	-	no mcp concept in clj src
